q,i,alpha_bar_frozen_i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-3.28,-0.035898200365502834,-1.7643590508751474,-1.7031780934408727,2.8209646231235705,2.7723800787708814
-5,-3.26,-0.03589405195698796,-1.7532149003738742,-1.6913496731436344,2.809665773349383,2.760535998601207
-5,-3.2399999999999998,-0.03588973475709577,-1.7419917759539543,-1.6794483134885327,2.7982861637799705,2.7486158464412638
-5,-3.2199999999999998,-0.03588524191956218,-1.7306901796890464,-1.6674750415597641,2.786826287535347,2.7366205294009163
-5,-3.1999999999999997,-0.03588056632222745,-1.719310647030354,-1.6554309250546617,2.7752866714253783,2.7245509940483505
-5,-3.18,-0.03587570055606693,-1.707853747280901,-1.6433170721968204,2.7636678764456755,2.712408226468881
-5,-3.16,-0.035870636913798354,-1.6963200840488168,-1.631134631588886,2.7519704982530477,2.7001932522725474
-5,-3.14,-0.035865367378049955,-1.6847102956777262,-1.6188847920025435,2.740195167618615,2.687907136548152
-5,-3.12,-0.03585988360907384,-1.673025055652183,-1.6065687821032162,2.728342550856512,2.67555098376132
-5,-3.1,-0.03585417693198841,-1.6612650729760936,-1.5941878701070717,2.7164133502261234,2.6631259375942435
-5,-3.08,-0.035848238323532886,-1.6494310925219502,-1.5817433633679456,2.7044083043056677,2.650633180724738
-5,-3.06,-0.03584205839831697,-1.637523895348661,-1.5692366078918731,2.6923281883349026,2.6380739345422923
-5,-3.04,-0.035835627394547785,-1.625544298985655,-1.556668987776953,2.6801738145246206,2.6254494587988044
-5,-3.02,-0.035828935159215966,-1.6134931576809248,-1.544041924576399,2.6679460323305846,2.612761051191769
-5,-3.0,-0.0358219711327223,-1.6013713626105501,-1.531356876582659,2.6556457286894317,2.6000100468776886
-5,-2.98,-0.03581472433292566,-1.5891798420472256,-1.518615338030641,2.6432738282140433,2.58719781791359
-5,-2.96,-0.03580718333859266,-1.5769195614852285,-1.5058188382181568,2.630831293345808,2.574325772624554
-5,-2.94,-0.03579933627222896,-1.5645915237192214,-1.492968940541847,2.6183191244611317,2.5613953548952755
