q,i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
15,-2.58,-0.8949631668734773,-0.9054188019323899,1.9572393338581329,1.9686343289759232
15,-2.56,-0.8883542956734563,-0.8989607181092849,1.9502665493361169,1.961824758507676
15,-2.54,-0.8816889149878249,-0.8924464917218029,1.9432347361456812,1.954956509563374
15,-2.52,-0.8749672963536637,-0.8858763350612694,1.9361442164583578,1.948029838789671
15,-2.5,-0.8681897371798317,-0.8792504850144391,1.9289953407308893,1.9410450297526534
15,-2.48,-0.8613565609967906,-0.872569203364224,1.9217884879574365,1.9340023932481194
15,-2.46,-0.8544681176776954,-0.8658327770652595,1.9145240658892064,1.9269022675832128
15,-2.44,-0.8475247836296717,-0.8590415184932015,1.9072025112203175,1.9197450188281828
15,-2.42,-0.8405269619542636,-0.8521957656666869,1.8998242897387856,1.9125310410371077
15,-2.4,-0.8334750825761073,-0.8452958824409667,1.8923898964416,1.9052607564364772
15,-2.38,-0.8263696023389571,-0.8383422586722559,1.884899855612944,1.897934615580598
15,-2.36,-0.8192110050682797,-0.8313353103519454,1.8773547208647001,1.8905530974728812
15,-2.34,-0.8119998015997131,-0.8242754797098665,1.8697550751385006,1.8831167096521357
15,-2.32,-0.804736529772786,-0.8171632352859031,1.8621015306686672,1.8756259882431037
15,-2.3,-0.7974217543893922,-0.8099990719693158,1.854394728905515,1.8680814979705598
15,-2.28,-0.7900560671366144,-0.8027835110052444,1.846635340398606,1.8604838321364023
15,-2.26,-0.7826400864736058,-0.7955170999679428,1.8388240646396636,1.852833612559279
15,-2.2399999999999998,-0.7751744574823483,-0.788200412700411,1.830961629864983,1.8451314894763973
15,-2.2199999999999998,-0.7676598516822202,-0.7808340492201784,1.823048792817313,1.8373781414072934
15,-2.1999999999999997,-0.7600969668084399,-0.7734186355911236,1.815086338467321,1.8295742749794581
15,-2.1799999999999997,-0.7524865265545444,-0.7659548237612971,1.8070750796948694,1.8217206247158344
15,-2.16,-0.7448292802792266,-0.7584432913668584,1.7990158569305126,1.8138179527843443
15,-2.14,-0.7371260026779451,-0.750884741502333,1.7909095377577249,1.8058670487097248
15,-2.12,-0.7293774934198662,-0.7432799024575161,1.7827570164765412,1.7978687290480848
15,-2.1,-0.7215845767508201,-0.7356295274214788,1.7745592136294166,1.7898238370247377
15,-2.08,-0.7137481010630722,-0.727934394154238,1.7663170754902644,1.7817332421359846
15,-2.06,-0.7058689384328477,-0.7201953046267703,1.758031573517765,1.7735978397156666
15,-2.04,-0.6979479841266516,-0.7124130846301742,1.7497037037741723,1.765418550467426
15,-2.02,-0.689986156077562,-0.7045885833548895,1.7413344863109899,1.7571963199637581
15,-2.0,-0.6819843943327728,-0.6967226729409995,1.7329249645229978,1.7489321181130417
15,-1.9799999999999995,-0.673943660473789,-0.688816248000746,1.7244762044722526,1.7406269385958744
15,-1.96,-0.665864937010766,-0.6808702251144942,1.7159892941837918,1.7322817982721468
15,-1.9399999999999995,-0.657749226752589,-0.6728855423014715,1.7074653429148747,1.7238977365603942
15,-1.92,-0.6495975521543892,-0.6648631584667216,1.69890548039972,1.715475814791089
15,-1.9000000000000004,-0.6414109546442561,-0.6568040528257658,1.6903108560717555,1.7070171155356002
15,-1.88,-0.6331904939310055,-0.6487092243085741,1.681682638265519,1.6985227419126694
15,-1.8600000000000003,-0.6249372472949095,-0.6405796909445082,1.6730220134003928,1.689993816874312
15,-1.8399999999999999,-0.616652308863362,-0.6324164892299473,1.6643301851484291,1.6814314824731154
15,-1.8200000000000003,-0.6083367888735052,-0.6242206734803942,1.6556083735885851,1.672836899112998
15,-1.7999999999999998,-0.59999181292386,-0.6159933151688661,1.6468578143497015,1.6642112447854962
15,-1.7800000000000002,-0.5916185212170649,-0.6077355022524484,1.6380797577446198,1.6555557142937394
15,-1.7599999999999998,-0.5832180677957984,-0.5994483384888738,1.6292754678978114,1.6468715184662386
15,-1.7400000000000002,-0.5747916197740089,-0.5911329427450445,1.6204462218689355,1.6381598833626905
15,-1.7199999999999998,-0.5663403565655328,-0.5827904482993842,1.6115933087746899,1.629422049473949
15,-1.7000000000000002,-0.5578654691121917,-0.5744220021399258,1.6027180289113372,1.6206592709183505
15,-1.6799999999999997,-0.5493681591134014,-0.5660287642600038,1.5938216928802147,1.6118728146365178
15,-1.6600000000000001,-0.5408496382593138,-0.5576119069534051,1.584905620718523,1.6030639595867737
15,-1.6399999999999997,-0.5323111274694277,-0.5491726141107793,1.575971141037589,1.5942339959432066
15,-1.62,-0.5237538561385713,-0.5407120805190745,1.567019590170762,1.585384224298412
15,-1.5999999999999996,-0.5151790613920546,-0.5322315111656793,1.5580523113329827,1.5765159548728263
15,-1.58,-0.5065879873517307,-0.5237321205489135,1.5490706537939913,1.5676305067325245
15,-1.5599999999999996,-0.49798188441458385,-0.5152151319963812,1.5400759720670036,1.5587292070172105
15,-1.54,-0.48936200854538087,-0.506681776992666,1.5310696251146036,1.5498133901800872
15,-1.5199999999999996,-0.48072962058478313,-0.4981332945176833,1.5220529755734171,1.5408843972411077
15,-1.5,-0.47208598557421527,-0.4895709303969509,1.5130273889990415,1.5319435750550479
15,-1.4799999999999995,-0.4634323720986374,-0.48099593666487894,1.5039942331325238,1.5229922755956569
15,-1.46,-0.45477005164824524,-0.47240957094208613,1.494954877189539,1.5140318552570384
15,-1.4399999999999995,-0.4461002979999602,-0.4638130958275856,1.485910691173244,1.5050636741732266
15,-1.42,-0.43742438661944405,-0.4552077783065775,1.476863045211635,1.4960890955568111
15,-1.3999999999999995,-0.42874359408419055,-0.4465948891744113,1.4678133089200285,1.487109485057249
15,-1.38,-0.4200591975281194,-0.4379757024771594,1.4587628507891435,1.4781262101393844
15,-1.3600000000000003,-0.4113724741079053,-0.4293514949690657,1.44971303759905,1.4691406394824884
15,-1.3399999999999999,-0.4026847004911381,-0.42072354558700287,1.440665233859086,1.4601541423999838
15,-1.3200000000000003,-0.3939971523662325,-0.41209313494189953,1.4316208012736549,1.4511680882798235
15,-1.2999999999999998,-0.3853111039738398,-0.4034615448269451,1.42258109823362,1.4421838460453267
15,-1.2800000000000002,-0.37662782765936587,-0.3948300577422308,1.4135474793328568,1.4332027836361052
15,-1.2599999999999998,-0.36794859344602165,-0.38619995643531946,1.4045212949093093,1.424226267508521
15,-1.2400000000000002,-0.35927466862769025,-0.3775725234570947,1.3955038906097512,1.4152556621549637
15,-1.2199999999999998,-0.3506073173807274,-0.36894904073207807,1.3864966069772642,1.4062923296410537
15,-1.2000000000000002,-0.34194780039368033,-0.3603307891422749,1.3775007790602818,1.3973376291597308
15,-1.1799999999999997,-0.333297374513744,-0.3517190481234439,1.368517736041887,1.3883929166010047
15,-1.1600000000000001,-0.3246572924086696,-0.3431150952725865,1.3595488008879155,1.3794595441360313
15,-1.1399999999999997,-0.3160288022426768,-0.33452020596528687,1.35059529001224,1.370538859813997
15,-1.12,-0.307413147364836,-0.3259356529814508,1.3416585129575247,1.3616322071701938
15,-1.0999999999999996,-0.2988115660082482,-0.31736270613785567,1.3327397720895682,1.352740924843527
15,-1.08,-0.2902252909982761,-0.30880263192584484,1.3238403623032866,1.343866346201596
15,-1.0599999999999996,-0.281655549467968,-0.30025669315239456,1.3149615707382523,1.3350097989713827
15,-1.04,-0.273103562578764,-0.2917261485827243,1.306104676501653,1.326172604873505
15,-1.0199999999999996,-0.26457054524448737,-0.28321225258253996,1.297270950396439,1.3173560792579186
15,-1.0,-0.2560577058565943,-0.274716254757964,1.288461654652383,1.30856153073889
15,-0.9799999999999995,-0.24756624600860247,-0.2662393995911634,1.2796780426577403,1.2997902608270306
15,-0.96,-0.23909736021761027,-0.25778292606966957,1.2709213586891601,1.2910435635561552
15,-0.9399999999999995,-0.23065223564080098,-0.2493480673073763,1.262192837637501,1.282322725102717
15,-0.9199999999999999,-0.22223205178484617,-0.24093605015522035,1.2534937047272154,1.2736290233955934
15,-0.8999999999999995,-0.21383798020613648,-0.23254809479956595,1.2448251752269817,1.264963727714013
15,-0.8799999999999999,-0.20547118419981986,-0.22418541434637312,1.2361884541493235,1.256328098271475
15,-0.8600000000000003,-0.19713281847567493,-0.215849214389281,1.227584735937008,1.2477233857835681
15,-0.8399999999999999,-0.1888240288189316,-0.20754069255982616,1.2190152041341007,1.2391508310176953
15,-0.8200000000000003,-0.18054595173423765,-0.19926103805811227,1.2104810310396585,1.2306116643228102
15,-0.7999999999999998,-0.17229971407107267,-0.1910114311623567,1.2019833773421449,1.2221071051373888
15,-0.7800000000000002,-0.16408643262905268,-0.18279304271589006,1.1935233917328167,1.2136383614740307
15,-0.7599999999999998,-0.1559072137416867,-0.17460703359031682,1.1851022104964481,1.2052066293792152
15,-0.7400000000000002,-0.14776315283733055,-0.16645455412373625,1.1767209570779724,1.1968130923669564
15,-0.7199999999999998,-0.1396553339762289,-0.15833674353308377,1.1683807416237668,1.1884589208252676
15,-0.7000000000000002,-0.13158482936275412,-0.15025472929988548,1.160082660496555,1.1801452713946037
15,-0.6799999999999997,-0.12355269883212198,-0.14220962652890357,1.151827795763078,1.171873286317643
15,-0.6600000000000001,-0.11555998931111172,-0.13420253727941509,1.1436172146539658,1.163644092760068
15,-0.6399999999999997,-0.10760773425251693,-0.1262345498690812,1.1354519689954405,1.1554588021022234
15,-0.6200000000000001,-0.09969695304331895,-0.11830673815065053,1.1273330946127964,1.1473185092018552
15,-0.5999999999999996,-0.09182865038679723,-0.11042016076197657,1.1192616107058133,1.139224291628377
15,-0.5800000000000001,-0.08400381565907544,-0.10257586035013934,1.111238519196596,1.131177208869457
15,-0.5599999999999996,-0.07622342224083618,-0.09477486277070878,1.1032648040505737,1.1231783015109782
15,-0.54,-0.06848842682522947,-0.08701817626350353,1.0953414305717053,1.1152285903917738
15,-0.5199999999999996,-0.06079976870324909,-0.07930679060646625,1.0874693446732278,1.107329075734826
15,-0.5,-0.053158369028137156,-0.07164167624958208,1.0796494721255692,1.0994807362569448
15,-0.47999999999999954,-0.04556513006062492,-0.06402378343103404,1.0718827177833388,1.0916845282592431
15,-0.45999999999999996,-0.0380209343971018,-0.05645404127808898,1.0641699647936007,1.083941384701035
15,-0.4399999999999995,-0.030526644183034402,-0.04893335689545807,1.0565120737878986,1.0762522142600681
15,-0.41999999999999993,-0.02308310031422648,-0.04146261444415779,1.0489098820607798,1.0686179003822973
15,-0.39999999999999947,-0.015691121628718073,-0.03404267421411857,1.0413642027378003,1.061039300324657
15,-0.3799999999999999,-0.008351504092362384,-0.02667437169404047,1.0338758239362547,1.0535172441945504
15,-0.3600000000000003,-0.0010650199812926135,-0.019358516642181252,1.0264455079220556,1.046052533989989
15,-0.33999999999999986,0.006167582935304816,-0.012095892161967915,1.0190739902664179,1.0386459426445316
15,-0.3200000000000003,0.013345582208561852,-0.004887253786464262,1.0117619790061445,1.0312982130813266
15,-0.2999999999999998,0.02046828151575257,0.0022666714241300102,1.0045101538114694,1.024010057280724
15,-0.28000000000000025,0.02753501145477341,0.00936518576767353,0.9973191651655213,1.0167821553660261
15,-0.2599999999999998,0.034545130323418674,0.016407621763632,0.9901896335595558,1.0096151547120211
15,-0.2400000000000002,0.04149802487953262,0.023393342990599888,0.9831221487081546,1.002509669080989
15,-0.21999999999999975,0.04839311107812015,0.030321744893422382,0.9761172687886034,0.9954662777908692
15,-0.20000000000000018,0.05522983478150237,0.03719225555556735,0.9691755197086521,0.9884855249202475
15,-0.17999999999999972,0.062007672438674465,0.04400433643249164,0.9622973944067903,0.9815679185547332
15,-0.16000000000000014,0.0687261317300857,0.05075748304182857,0.9554833521891032,0.9747139300792004
15,-0.13999999999999968,0.07538475217420174,0.05745122560639569,0.9487338181066273,0.9679239935201911
15,-0.1200000000000001,0.08198310569234046,0.0640851296461831,0.9420491823769911,0.9611985049426106
15,-0.09999999999999964,0.088520797128465,0.07065879651571064,0.9354297998539095,0.954537821904592
15,-0.08000000000000007,0.09499746472081831,0.07717186388338461,0.9288759895479033,0.9479422629741631
15,-0.05999999999999961,0.10141278052252707,0.08362400614976358,0.9223880342013443,0.9414121073110422
15,-0.040000000000000036,0.10776645076855447,0.09001493480194853,0.9159661799206639,0.9349475943165667
15,-0.019999999999999574,0.11405821618667615,0.09634439870164498,0.909610635868248,0.9285489233544069
15,0.0,0.12028785225044003,0.10261218430478852,0.9033215740162346,0.9222162535443448
15,0.020000000000000462,0.12645516937240517,0.10881811581100415,0.8970991289640747,0.9159497036309985
15,0.040000000000000036,0.1325600130362666,0.11496205524153855,0.8909433978213853,0.9097493519289775
15,0.0600000000000005,0.13860226386682856,0.12104390244470949,0.8848544401572371,0.9036152363455171
15,0.08000000000000007,0.14458183763711382,0.12706359502829787,0.8788322780166825,0.8975473544812412
15,0.10000000000000053,0.15049868521225937,0.13302110821872026,0.8728768960049329,0.8915456638092537
15,0.1200000000000001,0.15635279243017086,0.13891645464719934,0.8669882414392515,0.8856100819323558
15,0.14000000000000057,0.16214417991926122,0.14474968406354752,0.8611662245682531,0.8797404869177622
15,0.16000000000000014,0.16787290285390905,0.1505208829785478,0.8554107188579676,0.87393671770829
15,0.17999999999999972,0.17353905064859634,0.15623017423627805,0.8497215613436747,0.8681985746086123
15,0.20000000000000018,0.17914274659197468,0.1618777165180693,0.8440985530462132,0.862525819844792
15,0.21999999999999975,0.1846841474223854,0.16746370378010228,0.8385414594511627,0.8569181781949798
15,0.2400000000000002,0.19016344284662645,0.17298836462695563,0.833050011049016,0.8513753376888268
15,0.2599999999999998,0.195580855003976,0.1784519616236737,0.8276239039342251,0.8458969503728895
15,0.28000000000000025,0.2009366378777057,0.1838547905491762,0.8222628004607556,0.840482633139027
15,0.2999999999999998,0.20623107665648954,0.1891971795940378,0.8169663299516128,0.8351319686125755
15,0.3200000000000003,0.21146448704828025,0.19447948850585173,0.8117340894596066,0.829844506096876
15,0.33999999999999986,0.21663721454933973,0.19970210768553262,0.8065656445765099,0.8246197625705848
15,0.3600000000000003,0.22174963367123046,0.20486545723804994,0.8014605302876275,0.8194572237340436
15,0.3799999999999999,0.22680214712863164,0.20996998598115052,0.7964182518687293,0.8143563451009141
15,0.40000000000000036,0.23179518499091045,0.21501617041570903,0.7914382858222315,0.8093165531311904
15,0.41999999999999993,0.2367292038003869,0.22000451366135435,0.786520080849493,0.8043372464016953
15,0.4400000000000004,0.24160468566024912,0.22493554436104032,0.7816630588560746,0.7994177968101331
15,0.45999999999999996,0.24642213729503887,0.22980981555819183,0.7768666159868418,0.7945575508088165
15,0.4800000000000004,0.2511820890866003,0.23462790355001792,0.7721301236878214,0.7897558306642184
15,0.5,0.2558850940883172,0.23939040672051215,0.7674529297917859,0.7850119357385743
15,0.5200000000000005,0.26053172702039723,0.24409794435657534,0.7628343596246099,0.7803251437898466
15,0.54,0.2651225832488632,0.24875115545058438,0.7582737171295444,0.7756947122864806
15,0.5600000000000005,0.2696582777508293,0.25335069749262384,0.7537702860066366,0.771119879733488
15,0.5800000000000001,0.2741394440685113,0.2578972452554529,0.749323330864658,0.7665998670065487
15,0.6000000000000005,0.2785667332543244,0.2623914895751541,0.7449320983829985,0.7621338786909464
15,0.6200000000000001,0.2829408128092874,0.2668341361302523,0.7405958184811298,0.7577211044223251
15,0.6400000000000006,0.2872623656168413,0.27122590422194903,0.7363137054933465,0.7533607202263964
15,0.6600000000000001,0.29153208887405857,0.2755675255579599,0.732084959346639,0.7490518898548973
15,0.6799999999999997,0.29575069302210544,0.2798597430422937,0.7279087667396595,0.7447937661152462
15,0.7000000000000002,0.2999189006776947,0.284103309573152,0.7237843023208839,0.7405854921915214
15,0.7199999999999998,0.3040374455671542,0.2882989868509862,0.719710729864171,0.7364262029545223
15,0.7400000000000002,0.308107071464631,0.2924475441986051,0.7156872034400473,0.7323150262588349
15,0.7599999999999998,0.31212853113583955,0.29654975739507833,0.7117128685811431,0.7282510842249665
15,0.7800000000000002,0.3161025852886789,0.3006064075250644,0.7077868634403031,0.7242334945047444
15,0.7999999999999998,0.3200300015319444,0.3046182798450521,0.7039083199399879,0.720261371528312
15,0.8200000000000003,0.3239115533432954,0.3085861626679056,0.700076364911655,0.7163338277311654
15,0.8399999999999999,0.32774801904755474,0.31251084626698217,0.6962901212238842,0.7124499747597891
