k,q,bid_depth
0.89,-20,0.362612872
0.89,-19,0.4000035208
0.89,-18,0.4375900856
0.89,-17,0.4753648681
0.89,-16,0.5133197543
0.89,-15,0.551446221
0.89,-14,0.5897353455
0.89,-13,0.6281778162
0.89,-12,0.6667639469
0.89,-11,0.7054836926
0.89,-10,0.7443266677
0.89,-9,0.783282167
0.89,-8,0.8223391882
0.89,-7,0.8614864572
0.89,-6,0.9007124545
0.89,-5,0.9400054446
0.89,-4,0.9793535059
0.89,-3,1.018744562
0.89,-2,1.058166417
0.89,-1,1.097606787
0.89,0,1.137053333
0.89,1,1.176493702
0.89,2,1.215915557
0.89,3,1.255306614
0.89,4,1.294654675
0.89,5,1.333947665
0.89,6,1.373173662
0.89,7,1.412320931
0.89,8,1.451377953
0.89,9,1.490333452
0.89,10,1.529176427
0.89,11,1.567896173
0.89,12,1.606482303
0.89,13,1.644924774
0.89,14,1.683213899
0.89,15,1.721340365
0.89,16,1.759295251
0.89,17,1.797070034
0.89,18,1.834656599
0.89,19,1.872047248
0.89,20,1.909234702
0.89,21,1.946212108
0.89,22,1.982973033
0.89,23,2.019511468
0.89,24,2.055821822
0.89,25,2.09189892
0.89,26,2.127737992
0.89,27,2.163334672
0.89,28,2.198684984
0.89,29,2.233785336
0.89,30,2.268632506
0.9516666667,-30,-0.03157374218
0.9516666667,-29,0.002127785969
0.9516666667,-28,0.03608250423
0.9516666667,-27,0.07028706655
0.9516666667,-26,0.1047377285
0.9516666667,-25,0.1394303354
0.9516666667,-24,0.174360312
0.9516666667,-23,0.2095226527
0.9516666667,-22,0.2449119136
0.9516666667,-21,0.2805222062
0.9516666667,-20,0.3163471922
0.9516666667,-19,0.3523800811
0.9516666667,-18,0.388613629
0.9516666667,-17,0.42504014
0.9516666667,-16,0.4616514701
0.9516666667,-15,0.4984390328
0.9516666667,-14,0.5353938083
0.9516666667,-13,0.5725063543
0.9516666667,-12,0.6097668202
0.9516666667,-11,0.6471649636
0.9516666667,-10,0.6846901693
0.9516666667,-9,0.722331472
0.9516666667,-8,0.7600775796
0.9516666667,-7,0.7979169012
0.9516666667,-6,0.8358375757
0.9516666667,-5,0.8738275033
0.9516666667,-4,0.911874379
0.9516666667,-3,0.9499657271
0.9516666667,-2,0.988088938
0.9516666667,-1,1.026231305
0.9516666667,0,1.064380065
0.9516666667,1,1.102522432
0.9516666667,2,1.140645643
0.9516666667,3,1.178736991
0.9516666667,4,1.216783867
0.9516666667,5,1.254773795
0.9516666667,6,1.292694469
0.9516666667,7,1.330533791
0.9516666667,8,1.368279898
0.9516666667,9,1.405921201
0.9516666667,10,1.443446407
0.9516666667,11,1.48084455
0.9516666667,12,1.518105016
0.9516666667,13,1.555217562
0.9516666667,14,1.592172338
0.9516666667,15,1.6289599
0.9516666667,16,1.66557123
0.9516666667,17,1.701997741
0.9516666667,18,1.738231289
0.9516666667,19,1.774264178
0.9516666667,20,1.810089164
0.9516666667,21,1.845699457
