k,q,bid_depth
0.9516666667,8,1.426462416
0.9516666667,9,1.470750742
0.9516666667,10,1.51485848
0.9516666667,11,1.558768658
0.9516666667,12,1.602464878
0.9516666667,13,1.645931363
0.9516666667,14,1.689152986
0.9516666667,15,1.732115307
0.9516666667,16,1.774804595
0.9516666667,17,1.817207859
0.9516666667,18,1.859312862
0.9516666667,19,1.901108133
0.9516666667,20,1.942582987
0.9516666667,21,1.98372752
0.9516666667,22,2.02453262
0.9516666667,23,2.064989959
0.9516666667,24,2.10509199
0.9516666667,25,2.144831935
0.9516666667,26,2.184203775
0.9516666667,27,2.22320223
0.9516666667,28,2.261822745
0.9516666667,29,2.300061461
0.9516666667,30,2.337915198
1.013333333,-30,-0.2294047118
1.013333333,-29,-0.1927306948
1.013333333,-28,-0.1556705721
1.013333333,-27,-0.118227619
1.013333333,-26,-0.08040583895
1.013333333,-25,-0.04220999028
1.013333333,-24,-0.003645610757
1.013333333,-23,0.03528096121
1.013333333,-22,0.07456256856
1.013333333,-21,0.1141912214
1.013333333,-20,0.1541580868
1.013333333,-19,0.1944534828
1.013333333,-18,0.2350668774
1.013333333,-17,0.2759868916
1.013333333,-16,0.317201308
1.013333333,-15,0.3586970841
1.013333333,-14,0.4004603708
1.013333333,-13,0.4424765356
1.013333333,-12,0.4847301914
1.013333333,-11,0.5272052296
1.013333333,-10,0.5698848586
1.013333333,-9,0.612751646
1.013333333,-8,0.655787566
1.013333333,-7,0.6989740499
1.013333333,-6,0.7422920415
1.013333333,-5,0.7857220543
1.013333333,-4,0.8292442332
1.013333333,-3,0.8728384176
1.013333333,-2,0.9164842072
1.013333333,-1,0.9601610292
1.013333333,0,1.003848207
1.013333333,1,1.047525029
1.013333333,2,1.091170819
1.013333333,3,1.134765003
1.013333333,4,1.178287182
1.013333333,5,1.221717195
1.013333333,6,1.265035186
1.013333333,7,1.30822167
1.013333333,8,1.35125759
1.013333333,9,1.394124378
1.013333333,10,1.436804007
1.013333333,11,1.479279045
1.013333333,12,1.521532701
1.013333333,13,1.563548865
1.013333333,14,1.605312152
1.013333333,15,1.646807928
1.013333333,16,1.688022345
1.013333333,17,1.728942359
1.013333333,18,1.769555753
1.013333333,19,1.809851149
1.013333333,20,1.849818015
1.013333333,21,1.889446668
1.013333333,22,1.928728275
1.013333333,23,1.967654847
1.013333333,24,2.006219226
1.013333333,25,2.044415075
1.013333333,26,2.082236855
1.013333333,27,2.119679808
1.013333333,28,2.156739931
1.013333333,29,2.193413948
1.013333333,30,2.229699283
1.075,-30,-0.2457740336
1.075,-29,-0.210532328
1.075,-28,-0.1749011056
1.075,-27,-0.1388830505
1.075,-26,-0.1024815978
1.075,-25,-0.06570096566
1.075,-24,-0.02854618549
1.075,-23,0.008976871444
1.075,-22,0.04686147078
1.075,-21,0.0850999958
1.075,-20,0.1236839325
1.075,-19,0.1626038593
1.075,-18,0.2018494421
1.075,-17,0.2414094343
1.075,-16,0.2812716827
1.075,-15,0.3214231387
1.075,-14,0.3618498757
1.075,-13,0.4025371122
1.075,-12,0.4434692407
1.075,-11,0.4846298622
1.075,-10,0.5260018265
1.075,-9,0.5675672774
1.075,-8,0.6093077038
1.075,-7,0.6512039945
1.075,-6,0.6932364983
1.075,-5,0.7353850873
1.075,-4,0.7776292243
1.075,-3,0.819948033
1.075,-2,0.8623203708
1.075,-1,0.904724903
1.075,0,0.9471401796
1.075,1,0.9895447118
1.075,2,1.03191705
1.075,3,1.074235858
1.075,4,1.116479995
1.075,5,1.158628584
1.075,6,1.200661088
