gamma,q,spread
0.1008,-10,1.040191548
0.1008,-9,1.043059245
0.1008,-8,1.045989635
0.1008,-7,1.048932605
0.1008,-6,1.05181942
0.1008,-5,1.054561321
0.1008,-4,1.057050962
0.1008,-3,1.05916831
0.1008,-2,1.060792018
0.1008,-1,1.061815658
0.1008,0,1.062165659
0.1008,1,1.061815658
0.1008,2,1.060792018
0.1008,3,1.05916831
0.1008,4,1.057050962
0.1008,5,1.054561321
0.1008,6,1.05181942
0.1008,7,1.048932605
0.1008,8,1.045989635
0.1008,9,1.043059245
0.1008,10,1.040191548
0.1008,11,1.037420854
0.1008,12,1.034768887
0.1008,13,1.032247818
0.1008,14,1.02986286
0.1008,15,1.027614335
0.1008,16,1.02549927
0.1008,17,1.023512576
0.1008,18,1.021647898
0.1008,19,1.019898218
0.1008,20,1.018256272
0.1008,21,1.016714823
0.1008,22,1.015266847
0.1008,23,1.013905636
0.1008,24,1.012624868
0.1008,25,1.01141863
0.1008,26,1.01028143
0.1008,27,1.009208187
0.1008,28,1.008194217
0.1008,29,1.007235208
0.1008,30,1.0063272
0.1174333333,-30,1.002742891
0.1174333333,-29,1.003677533
0.1174333333,-28,1.004666422
0.1174333333,-27,1.005714008
0.1174333333,-26,1.006825174
0.1174333333,-25,1.00800528
0.1174333333,-24,1.009260204
0.1174333333,-23,1.010596385
0.1174333333,-22,1.012020853
0.1174333333,-21,1.013541263
0.1174333333,-20,1.015165901
0.1174333333,-19,1.01690367
0.1174333333,-18,1.01876403
0.1174333333,-17,1.020756881
0.1174333333,-16,1.022892335
0.1174333333,-15,1.025180357
0.1174333333,-14,1.02763019
0.1174333333,-13,1.030249488
0.1174333333,-12,1.033043039
0.1174333333,-11,1.036010932
0.1174333333,-10,1.039146014
0.1174333333,-9,1.042430483
0.1174333333,-8,1.045831562
0.1174333333,-7,1.049296407
0.1174333333,-6,1.052746854
0.1174333333,-5,1.056075331
0.1174333333,-4,1.059144212
0.1174333333,-3,1.061791654
0.1174333333,-2,1.063846689
0.1174333333,-1,1.065153877
0.1174333333,0,1.065602957
0.1174333333,1,1.065153877
0.1174333333,2,1.063846689
0.1174333333,3,1.061791654
0.1174333333,4,1.059144212
0.1174333333,5,1.056075331
0.1174333333,6,1.052746854
0.1174333333,7,1.049296407
0.1174333333,8,1.045831562
0.1174333333,9,1.042430483
0.1174333333,10,1.039146014
0.1174333333,11,1.036010932
0.1174333333,12,1.033043039
0.1174333333,13,1.030249488
0.1174333333,14,1.02763019
0.1174333333,15,1.025180357
0.1174333333,16,1.022892335
0.1174333333,17,1.020756881
0.1174333333,18,1.01876403
0.1174333333,19,1.01690367
0.1174333333,20,1.015165901
0.1174333333,21,1.013541263
0.1174333333,22,1.012020853
0.1174333333,23,1.010596385
0.1174333333,24,1.009260204
0.1174333333,25,1.00800528
0.1174333333,26,1.006825174
0.1174333333,27,1.005714008
0.1174333333,28,1.004666422
0.1174333333,29,1.003677533
0.1174333333,30,1.002742891
0.1340666667,-30,0.9991320215
0.1340666667,-29,1.000087478
0.1340666667,-28,1.00109978
0.1340666667,-27,1.00217378
0.1340666667,-26,1.003314836
0.1340666667,-25,1.004528875
0.1340666667,-24,1.005822448
0.1340666667,-23,1.007202796
0.1340666667,-22,1.008677915
0.1340666667,-21,1.010256611
0.1340666667,-20,1.011948561
0.1340666667,-19,1.013764341
0.1340666667,-18,1.015715428
0.1340666667,-17,1.017814147
0.1340666667,-16,1.020073523
0.1340666667,-15,1.022507005
0.1340666667,-14,1.025127959
0.1340666667,-13,1.027948858
0.1340666667,-12,1.030979997
0.1340666667,-11,1.034227537
0.1340666667,-10,1.037690635
0.1340666667,-9,1.041357357
0.1340666667,-8,1.045199135
0.1340666667,-7,1.049163709
0.1340666667,-6,1.053167
0.1340666667,-5,1.057085418
0.1340666667,-4,1.060751665
0.1340666667,-3,1.063958921
0.1340666667,-2,1.066478921
0.1340666667,-1,1.068096484
0.1340666667,0,1.068654909
0.1340666667,1,1.068096484
0.1340666667,2,1.066478921
0.1340666667,3,1.063958921
0.1340666667,4,1.060751665
0.1340666667,5,1.057085418
0.1340666667,6,1.053167
0.1340666667,7,1.049163709
0.1340666667,8,1.045199135
0.1340666667,9,1.041357357
0.1340666667,10,1.037690635
0.1340666667,11,1.034227537
0.1340666667,12,1.030979997
0.1340666667,13,1.027948858
0.1340666667,14,1.025127959
0.1340666667,15,1.022507005
0.1340666667,16,1.020073523
0.1340666667,17,1.017814147
0.1340666667,18,1.015715428
0.1340666667,19,1.013764341
0.1340666667,20,1.011948561
0.1340666667,21,1.010256611
0.1340666667,22,1.008677915
0.1340666667,23,1.007202796
0.1340666667,24,1.005822448
0.1340666667,25,1.004528875
0.1340666667,26,1.003314836
0.1340666667,27,1.00217378
0.1340666667,28,1.00109978
0.1340666667,29,1.000087478
0.1340666667,30,0.9991320215
0.1507,-30,0.9955147077
0.1507,-29,0.996486865
0.1507,-28,0.9975179915
0.1507,-27,0.9986132748
0.1507,-26,0.9997784757
0.1507,-25,1.001019998
0.1507,-24,1.002344967
0.1507,-23,1.003761311
0.1507,-22,1.005277856
0.1507,-21,1.006904417
0.1507,-20,1.008651888
0.1507,-19,1.010532334
0.1507,-18,1.012559042
0.1507,-17,1.014746551
0.1507,-16,1.017110588
0.1507,-15,1.019667887
0.1507,-14,1.022435797
0.1507,-13,1.025431572
0.1507,-12,1.028671151
0.1507,-11,1.0321672
0.1507,-10,1.035926048
0.1507,-9,1.0399431
0.1507,-8,1.044196228
0.1507,-7,1.048636793
0.1507,-6,1.05317842
0.1507,-5,1.057684934
0.1507,-4,1.061961149
0.1507,-3,1.065753449
0.1507,-2,1.068769438
0.1507,-1,1.07072327
0.1507,0,1.071401169
0.1507,1,1.07072327
0.1507,2,1.068769438
0.1507,3,1.065753449
0.1507,4,1.061961149
0.1507,5,1.057684934
0.1507,6,1.05317842
0.1507,7,1.048636793
0.1507,8,1.044196228
0.1507,9,1.0399431
0.1507,10,1.035926048
0.1507,11,1.0321672
0.1507,12,1.028671151
0.1507,13,1.025431572
0.1507,14,1.022435797
0.1507,15,1.019667887
