tau,q,bid_depth
100,-8,0.2775560135
100,-7,0.3066782785
100,-6,0.3359572319
100,-5,0.3653704695
100,-4,0.394894756
100,-3,0.4245061586
100,-2,0.4541801901
100,-1,0.4838919617
100,0,0.5136163405
100,1,0.5433281121
100,2,0.5730021437
100,3,0.6026135462
100,4,0.6321378327
100,5,0.6615510703
100,6,0.6908300238
100,7,0.7199522887
100,8,0.7488964123
100,9,0.7776420005
100,10,0.8061698103
100,11,0.8344618259
100,12,0.8625013196
100,13,0.8902728963
100,14,0.9177625213
100,15,0.9449575342
100,16,0.9718466474
100,17,0.9984199314
100,18,1.024668788
100,19,1.050585913
100,20,1.07616525
100,21,1.101401934
100,22,1.126292233
100,23,1.150833481
100,24,1.175024009
100,25,1.198863076
100,26,1.222350794
100,27,1.245488056
100,28,1.26827647
100,29,1.290718283
100,30,1.312816317
110,-30,-0.297879881
110,-29,-0.275416109
110,-28,-0.2525982377
110,-27,-0.2294235481
110,-26,-0.2058899679
110,-25,-0.1819961456
110,-24,-0.1577415283
110,-23,-0.1331264397
110,-22,-0.1081521592
110,-21,-0.08282100061
110,-20,-0.05713638822
110,-19,-0.03110293064
110,-18,-0.004726489033
110,-17,0.02198576081
110,-16,0.04902527458
110,-15,0.07638209551
110,-14,0.1040448218
110,-13,0.1320005876
110,-12,0.1602350579
110,-11,0.1887324398
110,-10,0.2174755106
110,-9,0.2464456627
110,-8,0.2756229671
110,-7,0.3049862541
110,-6,0.3345132117
110,-5,0.3641804999
110,-4,0.3939638808
110,-3,0.4238383619
110,-2,0.4537783511
110,-1,0.4837578212
110,0,0.513750481
110,1,0.5437299511
110,2,0.5736699403
110,3,0.6035444214
110,4,0.6333278023
110,5,0.6629950905
110,6,0.6925220481
110,7,0.7218853351
110,8,0.7510626395
110,9,0.7800327916
110,10,0.8087758624
110,11,0.8372732443
110,12,0.8655077146
110,13,0.8934634804
110,14,0.9211262067
110,15,0.9484830276
110,16,0.9755225414
110,17,1.002234791
110,18,1.028611233
110,19,1.05464469
110,20,1.080329303
110,21,1.105660461
110,22,1.130634742
110,23,1.15524983
110,24,1.179504448
110,25,1.20339827
110,26,1.22693185
110,27,1.25010654
110,28,1.272924411
110,29,1.295388183
110,30,1.31750115
120,-30,-0.3013918464
120,-29,-0.2789155574
120,-28,-0.2560794822
120,-27,-0.2328805174
120,-26,-0.2093162075
120,-25,-0.1853848245
120,-24,-0.1610854491
120,-23,-0.1364180549
120,-22,-0.1113835933
120,-21,-0.08598407776
120,-20,-0.06022266715
120,-19,-0.03410374546
120,-18,-0.007632996891
120,-17,0.01918252571
120,-16,0.04633434093
120,-15,0.07381248918
120,-14,0.1016054954
120,-13,0.1297003459
120,-12,0.15808248
120,-11,0.1867358003
120,-10,0.2156426989
120,-9,0.2447841042
120,-8,0.274139546
120,-7,0.3036872398
120,-6,0.3334041901
120,-5,0.3632663112
120,-4,0.3932485641
120,-3,0.4233251089
120,-2,0.4534694688
120,-1,0.4836547048
120,0,0.5138535974
120,1,0.5440388334
120,2,0.5741831933
120,3,0.6042597381
120,4,0.634241991
120,5,0.6641041121
120,6,0.6938210624
120,7,0.7233687562
120,8,0.752724198
120,9,0.7818656033
120,10,0.8107725019
120,11,0.8394258222
120,12,0.8678079563
120,13,0.8959028068
120,14,0.923695813
120,15,0.9511739613
120,16,0.9783257765
120,17,1.005141299
120,18,1.031612048
120,19,1.057730969
120,20,1.08349238
120,21,1.108891896
120,22,1.133926357
120,23,1.158593751
120,24,1.182893127
120,25,1.20682451
120,26,1.23038882
120,27,1.253587784
120,28,1.27642386
120,29,1.298900149
120,30,1.321020327
130,-30,-0.3040745806
130,-29,-0.2815914369
130,-28,-0.2587441353
130,-27,-0.2355292581
130,-26,-0.2119440354
130,-25,-0.1879864278
130,-24,-0.1636552121
130,-23,-0.1389500697
130,-22,-0.1138716762
130,-21,-0.08842179117
130,-20,-0.06260334652
130,-19,-0.03642053196
130,-18,-0.009878875578
130,-17,0.01701468233
130,-16,0.04425172412
130,-15,0.07182230054
130,-14,0.09971488923
130,-13,0.127916368
130,-12,0.1564120045
130,-11,0.1851854639
130,-10,0.2142188356
130,-9,0.2434926803
130,-8,0.2729860964
130,-7,0.3026768081
130,-6,0.3325412722
130,-5,0.362554804
130,-4,0.3926917207
130,-3,0.4229255004
130,-2,0.4532289539
130,-1,0.4835744077
130,0,0.5139338945
130,1,0.5442793483
130,2,0.5745828018
130,3,0.6048165815
130,4,0.6349534982
130,5,0.66496703
130,6,0.6948314941
130,7,0.7245222058
130,8,0.7540156219
130,9,0.7832894666
130,10,0.8123228383
130,11,0.8410962977
130,12,0.8695919342
130,13,0.897793413
130,14,0.9256860017
130,15,0.9532565781
130,16,0.9804936199
130,17,1.007387178
130,18,1.033928834
130,19,1.060111649
130,20,1.085930093
130,21,1.111379978
130,22,1.136458372
130,23,1.161163514
130,24,1.18549473
130,25,1.209452338
130,26,1.23303756
130,27,1.256252437
130,28,1.279099739
130,29,1.301582883
130,30,1.323705856
140,-30,-0.3061492837
140,-29,-0.2836627093
140,-28,-0.2608085803
140,-27,-0.2375832213
140,-26,-0.2139836037
140,-25,-0.1900074308
140,-24,-0.165653227
140,-23,-0.1409204301
140,-22,-0.1158094846
140,-21,-0.09032193591
140,-20,-0.06446052343
140,-19,-0.03822927031
140,-18,-0.01163356895
140,-17,0.01531974061
140,-16,0.04262230125
140,-15,0.07026418045
140,-14,0.09823382532
140,-13,0.126518033
140,-12,0.1551019381
140,-11,0.1839690193
140,-10,0.2131011254
