tau,q,spread
140,-13,1.022411171
140,-12,1.022610883
140,-11,1.02279899
140,-10,1.022974543
140,-9,1.023136618
140,-8,1.023284327
140,-7,1.023416837
140,-6,1.023533373
140,-5,1.02363324
140,-4,1.023715823
140,-3,1.023780608
140,-2,1.023827184
140,-1,1.02385525
140,0,1.023864626
140,1,1.02385525
140,2,1.023827184
140,3,1.023780608
140,4,1.023715823
140,5,1.02363324
140,6,1.023533373
140,7,1.023416837
140,8,1.023284327
140,9,1.023136618
140,10,1.022974543
140,11,1.02279899
140,12,1.022610883
140,13,1.022411171
140,14,1.02220082
140,15,1.0219808
140,16,1.021752076
140,17,1.021515595
140,18,1.021272287
140,19,1.021023048
140,20,1.020768745
140,21,1.020510201
140,22,1.0202482
140,23,1.019983482
140,24,1.01971674
140,25,1.019448618
140,26,1.019179715
140,27,1.018910585
140,28,1.018641733
140,29,1.018373621
140,30,1.018106668
150,-30,1.018106854
150,-29,1.018373853
150,-28,1.018642015
150,-27,1.018910919
150,-26,1.019180104
150,-25,1.019449064
150,-24,1.019717247
150,-23,1.019984053
150,-22,1.020248836
150,-21,1.020510904
150,-20,1.020769518
150,-19,1.021023894
150,-18,1.021273205
150,-17,1.021516588
150,-16,1.021753143
150,-15,1.021981942
150,-14,1.022202036
150,-13,1.02241246
150,-12,1.022612244
150,-11,1.022800421
150,-10,1.02297604
150,-9,1.023138177
150,-8,1.023285945
150,-7,1.023418508
150,-6,1.023535092
150,-5,1.023635
150,-4,1.023717618
150,-3,1.023782431
150,-2,1.023829026
150,-1,1.023857104
150,0,1.023866484
150,1,1.023857104
150,2,1.023829026
150,3,1.023782431
150,4,1.023717618
150,5,1.023635
150,6,1.023535092
150,7,1.023418508
150,8,1.023285945
150,9,1.023138177
150,10,1.02297604
150,11,1.022800421
150,12,1.022612244
150,13,1.02241246
150,14,1.022202036
150,15,1.021981942
150,16,1.021753143
150,17,1.021516588
150,18,1.021273205
150,19,1.021023894
150,20,1.020769518
150,21,1.020510904
150,22,1.020248836
150,23,1.019984053
150,24,1.019717247
150,25,1.019449064
150,26,1.019180104
150,27,1.018910919
150,28,1.018642015
150,29,1.018373853
150,30,1.018106854
160,-30,1.018106948
160,-29,1.01837397
160,-28,1.018642157
160,-27,1.018911087
160,-26,1.0191803
160,-25,1.01944929
160,-24,1.019717503
160,-23,1.019984341
160,-22,1.020249157
160,-21,1.02051126
160,-20,1.020769909
160,-19,1.02102432
160,-18,1.021273669
160,-17,1.021517089
160,-16,1.021753681
160,-15,1.021982519
160,-14,1.02220265
160,-13,1.022413111
160,-12,1.022612931
160,-11,1.022801143
160,-10,1.022976796
160,-9,1.023138965
160,-8,1.023286762
160,-7,1.023419352
160,-6,1.02353596
160,-5,1.023635889
160,-4,1.023718525
160,-3,1.023783351
160,-2,1.023829956
160,-1,1.023858041
160,0,1.023867423
160,1,1.023858041
160,2,1.023829956
160,3,1.023783351
160,4,1.023718525
160,5,1.023635889
160,6,1.02353596
160,7,1.023419352
160,8,1.023286762
160,9,1.023138965
160,10,1.022976796
160,11,1.022801143
160,12,1.022612931
160,13,1.022413111
160,14,1.02220265
160,15,1.021982519
160,16,1.021753681
160,17,1.021517089
160,18,1.021273669
160,19,1.02102432
160,20,1.020769909
160,21,1.02051126
160,22,1.020249157
160,23,1.019984341
160,24,1.019717503
160,25,1.01944929
160,26,1.0191803
160,27,1.018911087
160,28,1.018642157
160,29,1.01837397
160,30,1.018106948
170,-30,1.018106995
170,-29,1.01837403
170,-28,1.018642228
170,-27,1.018911172
170,-26,1.0191804
170,-25,1.019449404
170,-24,1.019717632
170,-23,1.019984486
170,-22,1.020249319
170,-21,1.020511439
170,-20,1.020770106
170,-19,1.021024536
170,-18,1.021273903
170,-17,1.021517342
170,-16,1.021753954
170,-15,1.02198281
170,-14,1.022202961
170,-13,1.02241344
170,-12,1.022613278
170,-11,1.022801508
170,-10,1.022977178
170,-9,1.023139363
170,-8,1.023287175
170,-7,1.023419778
170,-6,1.023536399
170,-5,1.023636338
170,-4,1.023718983
170,-3,1.023783816
170,-2,1.023830427
170,-1,1.023858514
170,0,1.023867897
170,1,1.023858514
170,2,1.023830427
170,3,1.023783816
170,4,1.023718983
170,5,1.023636338
170,6,1.023536399
170,7,1.023419778
170,8,1.023287175
170,9,1.023139363
170,10,1.022977178
170,11,1.022801508
170,12,1.022613278
170,13,1.02241344
170,14,1.022202961
170,15,1.02198281
170,16,1.021753954
170,17,1.021517342
170,18,1.021273903
170,19,1.021024536
170,20,1.020770106
170,21,1.020511439
170,22,1.020249319
170,23,1.019984486
170,24,1.019717632
170,25,1.019449404
170,26,1.0191804
170,27,1.018911172
170,28,1.018642228
170,29,1.01837403
170,30,1.018106995
180,-30,1.018107019
180,-29,1.018374059
180,-28,1.018642265
180,-27,1.018911215
180,-26,1.01918045
180,-25,1.019449461
180,-24,1.019717697
180,-23,1.019984559
180,-22,1.020249401
180,-21,1.02051153
180,-20,1.020770205
180,-19,1.021024645
180,-18,1.021274021
180,-17,1.02151747
180,-16,1.021754091
180,-15,1.021982957
180,-14,1.022203117
180,-13,1.022413606
180,-12,1.022613454
180,-11,1.022801693
180,-10,1.022977371
180,-9,1.023139564
180,-8,1.023287383
180,-7,1.023419994
180,-6,1.023536621
180,-5,1.023636565
180,-4,1.023719214
180,-3,1.023784051
180,-2,1.023830664
180,-1,1.023858753
180,0,1.023868137
180,1,1.023858753
180,2,1.023830664
180,3,1.023784051
180,4,1.023719214
180,5,1.023636565
180,6,1.023536621
180,7,1.023419994
180,8,1.023287383
180,9,1.023139564
180,10,1.022977371
180,11,1.022801693
180,12,1.022613454
180,13,1.022413606
180,14,1.022203117
180,15,1.021982957
180,16,1.021754091
180,17,1.02151747
180,18,1.021274021
180,19,1.021024645
180,20,1.020770205
180,21,1.02051153
180,22,1.020249401
180,23,1.019984559
180,24,1.019717697
180,25,1.019449461
180,26,1.01918045
180,27,1.018911215
180,28,1.018642265
180,29,1.018374059
180,30,1.018107019
190,-30,1.018107031
190,-29,1.018374075
190,-28,1.018642283
190,-27,1.018911237
190,-26,1.019180475
190,-25,1.01944949
190,-24,1.01971773
190,-23,1.019984596
190,-22,1.020249443
190,-21,1.020511575
190,-20,1.020770256
190,-19,1.0210247
190,-18,1.021274081
190,-17,1.021517534
190,-16,1.021754161
190,-15,1.021983031
190,-14,1.022203196
190,-13,1.02241369
190,-12,1.022613542
190,-11,1.022801786
190,-10,1.022977468
190,-9,1.023139665
190,-8,1.023287489
190,-7,1.023420102
190,-6,1.023536733
190,-5,1.02363668
190,-4,1.023719331
190,-3,1.02378417
190,-2,1.023830784
190,-1,1.023858874
190,0,1.023868258
190,1,1.023858874
190,2,1.023830784
190,3,1.02378417
190,4,1.023719331
190,5,1.02363668
190,6,1.023536733
190,7,1.023420102
190,8,1.023287489
190,9,1.023139665
190,10,1.022977468
190,11,1.022801786
190,12,1.022613542
190,13,1.02241369
190,14,1.022203196
190,15,1.021983031
190,16,1.021754161
190,17,1.021517534
190,18,1.021274081
190,19,1.0210247
190,20,1.020770256
190,21,1.020511575
190,22,1.020249443
190,23,1.019984596
190,24,1.01971773
190,25,1.01944949
190,26,1.019180475
190,27,1.018911237
190,28,1.018642283
