gamma,q,spread
0.1174333333,24,2.173757042
0.1174333333,25,2.17069885
0.1174333333,26,2.167847551
0.1174333333,27,2.165183417
0.1174333333,28,2.162689074
0.1174333333,29,2.160349171
0.1174333333,30,2.158150108
0.1340666667,-30,2.141292674
0.1340666667,-29,2.143520165
0.1340666667,-28,2.145891844
0.1340666667,-27,2.148421847
0.1340666667,-26,2.151126164
0.1340666667,-25,2.154022942
0.1340666667,-24,2.157132851
0.1340666667,-23,2.160479508
0.1340666667,-22,2.164090003
0.1340666667,-21,2.167995518
0.1340666667,-20,2.172232073
0.1340666667,-19,2.176841432
0.1340666667,-18,2.181872179
0.1340666667,-17,2.187381015
0.1340666667,-16,2.193434281
0.1340666667,-15,2.20010975
0.1340666667,-14,2.20749863
0.1340666667,-13,2.215707731
0.1340666667,-12,2.224861511
0.1340666667,-11,2.235103492
0.1340666667,-10,2.246595903
0.1340666667,-9,2.259515324
0.1340666667,-8,2.274040052
0.1340666667,-7,2.290321222
0.1340666667,-6,2.30842366
0.1340666667,-5,2.328214088
0.1340666667,-4,2.349168491
0.1340666667,-3,2.370087611
0.1340666667,-2,2.388803933
0.1340666667,-1,2.402204401
0.1340666667,0,2.407135774
0.1340666667,1,2.402204401
0.1340666667,2,2.388803933
0.1340666667,3,2.370087611
0.1340666667,4,2.349168491
0.1340666667,5,2.328214088
0.1340666667,6,2.30842366
0.1340666667,7,2.290321222
0.1340666667,8,2.274040052
0.1340666667,9,2.259515324
0.1340666667,10,2.246595903
0.1340666667,11,2.235103492
0.1340666667,12,2.224861511
0.1340666667,13,2.215707731
0.1340666667,14,2.20749863
0.1340666667,15,2.20010975
0.1340666667,16,2.193434281
0.1340666667,17,2.187381015
0.1340666667,18,2.181872179
0.1340666667,19,2.176841432
0.1340666667,20,2.172232073
0.1340666667,21,2.167995518
0.1340666667,22,2.164090003
0.1340666667,23,2.160479508
0.1340666667,24,2.157132851
0.1340666667,25,2.154022942
0.1340666667,26,2.151126164
0.1340666667,27,2.148421847
0.1340666667,28,2.145891844
0.1340666667,29,2.143520165
0.1340666667,30,2.141292674
0.1507,-30,2.124734331
0.1507,-29,2.12698497
0.1507,-28,2.129382538
0.1507,-27,2.13194161
0.1507,-26,2.134678706
0.1507,-25,2.137612615
