time,glft_blind_mean_pnl,yaware_hjb_mean_pnl,glft_blind_mean_penalty,yaware_hjb_mean_penalty
4516.05,1090.807211,948.7933608,704.5604625,86.68429784
4517.05,1091.031842,948.986451,704.7203263,86.70391872
4518.05,1091.224813,949.1887094,704.8801821,86.72352756
4519.05,1091.443065,949.3869254,705.0399644,86.74314846
4520.05,1091.700779,949.6009723,705.1996724,86.76276892
4521.05,1091.920012,949.8190719,705.3593531,86.78239899
4522.05,1092.162147,950.0319085,705.5189576,86.80206223
4523.05,1092.464215,950.2621539,705.678487,86.821717
4524.05,1092.71787,950.4703476,705.8380976,86.84135688
4525.05,1092.898159,950.6535108,705.997837,86.86101666
4526.05,1093.106171,950.8557796,706.1576801,86.88069057
4527.05,1093.351373,951.0502499,706.3175305,86.90035326
4528.05,1093.553862,951.2449245,706.4774151,86.92001118
4529.05,1093.776623,951.4444208,706.6373607,86.93966509
4530.05,1094.013065,951.6493484,706.7973846,86.95930375
4531.05,1094.352786,951.8820774,706.9574597,86.97893643
4532.05,1094.547163,952.0865031,707.1174862,86.99858097
4533.05,1094.809233,952.3058806,707.2774351,87.01824206
4534.05,1095.118723,952.5281581,707.4374507,87.03790964
4535.05,1095.390017,952.7423382,707.5975341,87.05759038
4536.05,1095.60133,952.9347629,707.7577289,87.07730913
4537.05,1095.841959,953.1525773,707.9179904,87.09704404
4538.05,1096.085766,953.359821,708.0783404,87.11680133
4539.05,1096.310911,953.5666327,708.238802,87.13656827
4540.05,1096.490118,953.7544554,708.3991878,87.15632536
4541.05,1096.709503,953.9565206,708.559472,87.17605859
4542.05,1096.992574,954.1800974,708.7196837,87.19576739
4543.05,1097.141595,954.3527402,708.8799324,87.21545736
4544.05,1097.383297,954.5648511,709.040154,87.23512683
4545.05,1097.50117,954.7324557,709.2003131,87.2547781
4546.05,1097.68968,954.9169054,709.3603698,87.27444285
4547.05,1097.908891,955.1391386,709.520344,87.29409252
4548.05,1098.116272,955.3411594,709.6803598,87.31375051
4549.05,1098.295075,955.5351128,709.840429,87.33342767
4550.05,1098.521076,955.7372474,710.0005195,87.35306207
4551.05,1098.799633,955.9571524,710.1605494,87.37266911
4552.05,1099.063681,956.1742544,710.3206059,87.39227644
4553.05,1099.295275,956.3767051,710.4806471,87.41187669
4554.05,1099.505035,956.5715723,710.6406971,87.43148493
4555.05,1099.7187,956.7790651,710.8007126,87.4511031
4556.05,1099.960359,956.9927651,710.9607224,87.47069279
4557.05,1100.101162,957.167273,711.1207513,87.49027893
4558.05,1100.37573,957.392688,711.2807154,87.50987786
4559.05,1100.583743,957.5847423,711.4407069,87.52948199
4560.05,1100.825969,957.7915688,711.6007509,87.54905171
4561.05,1101.144922,958.0210237,711.7607867,87.56862134
4562.05,1101.508066,958.2778574,711.9209073,87.58819785
4563.05,1101.678231,958.4682963,712.0810305,87.60776961
4564.05,1101.932948,958.677146,712.2411257,87.62731837
4565.05,1102.190111,958.8906233,712.4011781,87.64685715
4566.05,1102.42249,959.0875402,712.5611434,87.66637023
4567.05,1102.644953,959.3019805,712.7211175,87.68588108
4568.05,1102.795765,959.4904752,712.881107,87.70539908
4569.05,1103.073541,959.709368,713.0410797,87.72490704
4570.05,1103.269158,959.9037006,713.2010511,87.74442219
4571.05,1103.514375,960.1122169,713.3609723,87.76394369
4572.05,1103.733256,960.3206933,713.5208419,87.7834398
4573.05,1103.9566,960.5225208,713.6806523,87.80293762
4574.05,1104.177633,960.7393461,713.8404154,87.82242998
4575.05,1104.417639,960.9556046,714.0002731,87.84192055
4576.05,1104.697916,961.1785287,714.1602167,87.86140729
4577.05,1104.920204,961.3770735,714.3202111,87.88088134
4578.05,1105.173533,961.5933389,714.4801109,87.90036497
4579.05,1105.475887,961.8161908,714.639957,87.91987714
4580.05,1105.752987,962.0449839,714.7997909,87.93939342
4581.05,1105.99891,962.2509923,714.9596607,87.95892602
4582.05,1106.262245,962.4658422,715.1195072,87.97848392
4583.05,1106.512638,962.6834813,715.2793525,87.99802722
4584.05,1106.802258,962.9025746,715.4391838,88.01759573
4585.05,1107.03727,963.1148534,715.5990976,88.03719307
4586.05,1107.256907,963.3162841,715.7590746,88.05680777
4587.05,1107.537374,963.5404932,715.9190213,88.07644662
4588.05,1107.838355,963.7679032,716.0789778,88.09609181
4589.05,1108.063211,963.9692503,716.2389486,88.11573621
4590.05,1108.326319,964.1831296,716.398889,88.13538949
4591.05,1108.552588,964.3796481,716.5588541,88.15504111
4592.05,1108.671043,964.5464923,716.7187482,88.17467738
4593.05,1108.94451,964.7671403,716.8786432,88.19432978
4594.05,1109.179659,964.9750623,717.0385596,88.21396948
4595.05,1109.472772,965.1987082,717.1984487,88.23357948
4596.05,1109.654353,965.3967416,717.3582245,88.25318027
4597.05,1109.865433,965.5953498,717.5179313,88.27278147
4598.05,1110.097328,965.7912292,717.6776302,88.2923695
4599.05,1110.337351,965.9972205,717.8373424,88.3119678
4600.05,1110.559929,966.2017852,717.9970941,88.331581
4601.05,1110.836044,966.4298337,718.1567737,88.3511974
4602.05,1111.073836,966.6354438,718.3164975,88.37082765
4603.05,1111.288673,966.8377135,718.4761945,88.39044794
4604.05,1111.519329,967.0476617,718.6359286,88.41005898
4605.05,1111.735659,967.2381444,718.7956965,88.42965004
4606.05,1111.942265,967.4371169,718.9555385,88.44923134
4607.05,1112.114966,967.6230438,719.1153834,88.46881177
4608.05,1112.342182,967.8137774,719.275272,88.4883963
4609.05,1112.52218,968.0079014,719.4351472,88.50799381
4610.05,1112.782167,968.2232093,719.5950876,88.52760544
4611.05,1112.995055,968.4220009,719.7550806,88.54720812
4612.05,1113.251077,968.6350245,719.9150726,88.56679569
4613.05,1113.522734,968.8667979,720.0749953,88.58640686
4614.05,1113.822403,969.0875884,720.2349984,88.60601556
4615.05,1114.109209,969.3059546,720.3950982,88.62560763
4616.05,1114.327088,969.5082772,720.5551966,88.64518132
4617.05,1114.641491,969.7306316,720.7153086,88.66473462
4618.05,1114.900367,969.9525826,720.8754558,88.68428268
4619.05,1115.127606,970.1570056,721.0356685,88.70382582
4620.05,1115.357935,970.3610139,721.1959598,88.72336085
4621.05,1115.560476,970.5605051,721.3562289,88.74288404
4622.05,1115.745323,970.7487042,721.5164716,88.76240423
4623.05,1115.959199,970.9517816,721.6767361,88.78195176
4624.05,1116.216225,971.1694304,721.8369566,88.80151594
4625.05,1116.403764,971.3682123,721.9972073,88.8211087
4626.05,1116.687728,971.5882572,722.157467,88.84070858
4627.05,1116.944237,971.8103295,722.3177129,88.86032929
4628.05,1117.249728,972.0392054,722.4779368,88.87994224
4629.05,1117.511157,972.2538405,722.6382154,88.89956554
4630.05,1117.698839,972.4556169,722.7985415,88.91919485
4631.05,1117.958495,972.678425,722.9589137,88.93881905
4632.05,1118.225774,972.893924,723.1193328,88.95843148
4633.05,1118.536069,973.1272924,723.279839,88.9780682
4634.05,1118.810746,973.3390296,723.4404855,88.99771159
4635.05,1119.080663,973.5469647,723.601254,89.01734506
4636.05,1119.256966,973.733141,723.7622175,89.03699368
4637.05,1119.489761,973.9376935,723.9233315,89.0566445
4638.05,1119.702959,974.1309951,724.0845248,89.0763291
4639.05,1119.973323,974.3498147,724.2457949,89.09602926
4640.05,1120.221442,974.5595814,724.4071489,89.11571272
4641.05,1120.465634,974.7604483,724.5685598,89.13536583
4642.05,1120.785147,974.987401,724.7298071,89.15499685
4643.05,1121.018277,975.1899151,724.8910582,89.17460624
4644.05,1121.280382,975.4046916,725.052276,89.1941854
4645.05,1121.512287,975.6144539,725.2134941,89.2137517
4646.05,1121.69849,975.8014913,725.3746699,89.23328405
4647.05,1121.914894,976.0038208,725.5357757,89.2528273
4648.05,1122.209653,976.2250992,725.6968522,89.27238758
4649.05,1122.466746,976.4375505,725.8580618,89.29194943
4650.05,1122.715238,976.6575546,726.0193824,89.31152582
4651.05,1122.99078,976.8671564,726.1806536,89.33112142
4652.05,1123.248951,977.080193,726.3419507,89.35072374
4653.05,1123.567466,977.3087171,726.5032632,89.37031826
4654.05,1123.830671,977.5254568,726.6645068,89.38989859
4655.05,1124.011632,977.720916,726.8256318,89.4094888
4656.05,1124.231451,977.9186239,726.9867472,89.42909139
4657.05,1124.463769,978.1246475,727.1479091,89.44869745
4658.05,1124.75865,978.3436407,727.309098,89.46830106
4659.05,1125.017713,978.5619806,727.470194,89.48789563
