tau,q,spread
180,12,1.026294502
180,13,1.025981298
180,14,1.025652925
180,15,1.025311177
180,16,1.024957832
180,17,1.024594629
180,18,1.024223254
180,19,1.023845324
180,20,1.023462373
180,21,1.023075848
180,22,1.022687095
180,23,1.022297359
180,24,1.021907781
180,25,1.021519395
180,26,1.021133131
180,27,1.020749819
180,28,1.02037019
180,29,1.019994883
180,30,1.01962445
190,-30,1.019622383
190,-29,1.019993781
190,-28,1.020370147
190,-27,1.020750931
190,-26,1.021135498
190,-25,1.021523117
190,-24,1.021912956
190,-23,1.022304085
190,-22,1.022695465
190,-21,1.02308595
190,-20,1.023474289
190,-19,1.023859123
190,-18,1.024238999
190,-17,1.024612365
190,-16,1.024977592
190,-15,1.025332976
190,-14,1.025676759
190,-13,1.026007147
190,-12,1.026322323
190,-11,1.026620476
190,-10,1.02689982
190,-9,1.027158618
190,-8,1.027395205
190,-7,1.027608017
190,-6,1.027795607
190,-5,1.027956673
190,-4,1.028090077
190,-3,1.028194859
190,-2,1.028270259
190,-1,1.028315723
190,0,1.028330915
190,1,1.028315723
190,2,1.028270259
190,3,1.028194859
190,4,1.028090077
190,5,1.027956673
190,6,1.027795607
190,7,1.027608017
190,8,1.027395205
190,9,1.027158618
190,10,1.02689982
190,11,1.026620476
190,12,1.026322323
190,13,1.026007147
190,14,1.025676759
190,15,1.025332976
190,16,1.024977592
190,17,1.024612365
190,18,1.024238999
190,19,1.023859123
190,20,1.023474289
190,21,1.02308595
190,22,1.022695465
190,23,1.022304085
190,24,1.021912956
190,25,1.021523117
190,26,1.021135498
190,27,1.020750931
190,28,1.020370147
190,29,1.019993781
190,30,1.019622383
200,-30,1.019620469
200,-29,1.019992637
200,-28,1.020369851
200,-27,1.020751563
200,-26,1.021137139
200,-25,1.021525849
200,-24,1.021916863
200,-23,1.022309246
200,-22,1.022701957
200,-21,1.023093848
200,-20,1.023483658
200,-19,1.023870026
200,-18,1.024251484
200,-17,1.024626473
200,-16,1.024993349
200,-15,1.025350396
200,-14,1.025695841
200,-13,1.026027873
200,-12,1.02634466
200,-11,1.026644373
200,-10,1.026925209
200,-9,1.027185414
200,-8,1.02742331
200,-7,1.027637314
200,-6,1.027825967
200,-5,1.027987956
200,-4,1.028122129
200,-3,1.02822752
200,-2,1.02830336
200,-1,1.028349089
200,0,1.02836437
200,1,1.028349089
200,2,1.02830336
200,3,1.02822752
200,4,1.028122129
200,5,1.027987956
200,6,1.027825967
200,7,1.027637314
200,8,1.02742331
200,9,1.027185414
200,10,1.026925209
200,11,1.026644373
200,12,1.02634466
200,13,1.026027873
200,14,1.025695841
200,15,1.025350396
200,16,1.024993349
200,17,1.024626473
200,18,1.024251484
200,19,1.023870026
200,20,1.023483658
200,21,1.023093848
200,22,1.022701957
200,23,1.022309246
200,24,1.021916863
200,25,1.021525849
200,26,1.021137139
200,27,1.020751563
200,28,1.020369851
200,29,1.019992637
200,30,1.019620469
210,-30,1.019618742
210,-29,1.019991527
210,-28,1.02036942
210,-27,1.020751879
210,-26,1.021138268
210,-25,1.021527859
210,-24,1.021919821
210,-23,1.02231322
210,-22,1.022707011
210,-21,1.023100043
210,-20,1.02349105
210,-19,1.023878664
210,-18,1.024261411
210,-17,1.024637723
210,-16,1.025005945
210,-15,1.025364349
210,-14,1.025711151
210,-13,1.026044526
210,-12,1.026362628
210,-11,1.026663615
210,-10,1.02694567
210,-9,1.027207026
210,-8,1.02744599
210,-7,1.027660968
210,-6,1.02785049
210,-5,1.028013232
210,-4,1.028148034
210,-3,1.028253921
210,-2,1.02833012
210,-1,1.028376066
210,0,1.02839142
210,1,1.028376066
210,2,1.02833012
210,3,1.028253921
210,4,1.028148034
210,5,1.028013232
210,6,1.02785049
210,7,1.027660968
210,8,1.02744599
210,9,1.027207026
210,10,1.02694567
210,11,1.026663615
210,12,1.026362628
