tau,q,bid_depth
1.667500000000000000e+02,-2.600000000000000000e+01,-2.175231988311985276e-01
1.667500000000000000e+02,-2.500000000000000000e+01,-1.935199711840027703e-01
1.667500000000000000e+02,-2.400000000000000000e+01,-1.691308400633424469e-01
1.667500000000000000e+02,-2.300000000000000000e+01,-1.443547730151326647e-01
1.667500000000000000e+02,-2.200000000000000000e+01,-1.191917657691643484e-01
1.667500000000000000e+02,-2.100000000000000000e+01,-9.364294470435829965e-02
1.667500000000000000e+02,-2.000000000000000000e+01,-6.771066865755415165e-02
1.667500000000000000e+02,-1.900000000000000000e+01,-4.139862815585715339e-02
1.667500000000000000e+02,-1.800000000000000000e+01,-1.471193993686981116e-02
1.667500000000000000e+02,-1.700000000000000000e+01,1.234276555058944069e-02
1.667500000000000000e+02,-1.600000000000000000e+01,3.975726608524876582e-02
1.667500000000000000e+02,-1.500000000000000000e+01,6.752168151318072020e-02
1.667500000000000000e+02,-1.400000000000000000e+01,9.562442190828557287e-02
1.667500000000000000e+02,-1.300000000000000000e+01,1.240521523435598183e-01
1.667500000000000000e+02,-1.200000000000000000e+01,1.527897763424439503e-01
1.667500000000000000e+02,-1.100000000000000000e+01,1.818204397724816346e-01
1.667500000000000000e+02,-1.000000000000000000e+01,2.111255565580998361e-01
1.667500000000000000e+02,-9.000000000000000000e+00,2.406848571387751878e-01
1.667500000000000000e+02,-8.000000000000000000e+00,2.704764600996597546e-01
1.667500000000000000e+02,-7.000000000000000000e+00,3.004769668721942733e-01
1.667500000000000000e+02,-6.000000000000000000e+00,3.306615788616259488e-01
1.667500000000000000e+02,-5.000000000000000000e+00,3.610042358253267580e-01
1.667500000000000000e+02,-4.000000000000000000e+00,3.914777738176245525e-01
1.667500000000000000e+02,-3.000000000000000000e+00,4.220541005487244424e-01
1.667500000000000000e+02,-2.000000000000000000e+00,4.527043855898614799e-01
1.667500000000000000e+02,-1.000000000000000000e+00,4.833992625044409297e-01
1.667500000000000000e+02,0.000000000000000000e+00,5.141090397033785120e-01
1.667500000000000000e+02,1.000000000000000000e+00,5.448039166179582393e-01
1.667500000000000000e+02,2.000000000000000000e+00,5.754542016590956655e-01
1.667500000000000000e+02,3.000000000000000000e+00,6.060305283901961104e-01
1.667500000000000000e+02,4.000000000000000000e+00,6.365040663824937939e-01
1.667500000000000000e+02,5.000000000000000000e+00,6.668467233461938815e-01
1.667500000000000000e+02,6.000000000000000000e+00,6.970313353356255570e-01
1.667500000000000000e+02,7.000000000000000000e+00,7.270318421081580773e-01
1.667500000000000000e+02,8.000000000000000000e+00,7.568234450690419779e-01
1.667500000000000000e+02,9.000000000000000000e+00,7.863827456497172186e-01
1.667500000000000000e+02,1.000000000000000000e+01,8.156878624353358642e-01
1.667500000000000000e+02,1.100000000000000000e+01,8.447185258653724382e-01
1.667500000000000000e+02,1.200000000000000000e+01,8.734561498642574584e-01
1.667500000000000000e+02,1.300000000000000000e+01,9.018838802995308157e-01
1.667500000000000000e+02,1.400000000000000000e+01,9.299866206946378888e-01
1.667500000000000000e+02,1.500000000000000000e+01,9.577510361225685109e-01
1.667500000000000000e+02,1.600000000000000000e+01,9.851655366572287242e-01
1.667500000000000000e+02,1.700000000000000000e+01,1.012220242144685756e+00
1.667500000000000000e+02,1.800000000000000000e+01,1.038906930363674874e+00
1.667500000000000000e+02,1.900000000000000000e+01,1.065218970865370096e+00
1.667500000000000000e+02,2.000000000000000000e+01,1.091151246912179573e+00
1.667500000000000000e+02,2.100000000000000000e+01,1.116700067976981181e+00
1.667500000000000000e+02,2.200000000000000000e+01,1.141863075222948609e+00
1.667500000000000000e+02,2.300000000000000000e+01,1.166639142271164609e+00
1.667500000000000000e+02,2.400000000000000000e+01,1.191028273391816938e+00
1.667500000000000000e+02,2.500000000000000000e+01,1.215031501039023354e+00
1.667500000000000000e+02,2.600000000000000000e+01,1.238650784405253447e+00
1.667500000000000000e+02,2.700000000000000000e+01,1.261888910412908515e+00
1.667500000000000000e+02,2.800000000000000000e+01,1.284749398299629419e+00
1.667500000000000000e+02,2.900000000000000000e+01,1.307236408703150943e+00
1.667500000000000000e+02,3.000000000000000000e+01,1.329354657915706284e+00
3.332500000000000000e+02,-3.000000000000000000e+01,-3.139767494648708634e-01
3.332500000000000000e+02,-2.900000000000000000e+01,-2.915009175427254462e-01
3.332500000000000000e+02,-2.800000000000000000e+01,-2.686445845966076718e-01
3.332500000000000000e+02,-2.700000000000000000e+01,-2.454029119303484663e-01
3.332500000000000000e+02,-2.600000000000000000e+01,-2.217716868733887736e-01
3.332500000000000000e+02,-2.500000000000000000e+01,-1.977474213118508573e-01
3.332500000000000000e+02,-2.400000000000000000e+01,-1.733274561336486386e-01
3.332500000000000000e+02,-2.300000000000000000e+01,-1.485100706544608684e-01
3.332500000000000000e+02,-2.200000000000000000e+01,-1.232945957724744801e-01
3.332500000000000000e+02,-2.100000000000000000e+01,-9.768152926184203722e-02
3.332500000000000000e+02,-2.000000000000000000e+01,-7.167265127502187028e-02
3.332500000000000000e+02,-1.900000000000000000e+01,-4.527113779953939598e-02
3.332500000000000000e+02,-1.800000000000000000e+01,-1.848166952717011924e-02
3.332500000000000000e+02,-1.700000000000000000e+01,8.689466633331477396e-03
3.332500000000000000e+02,-1.600000000000000000e+01,3.623428631392178190e-02
3.332500000000000000e+02,-1.500000000000000000e+01,6.414302967200447014e-02
3.332500000000000000e+02,-1.400000000000000000e+01,9.240409948770311743e-02
