tau,q,ask_depth
1.666666666666666572e+02,-7.000000000000000000e+00,6.951591965670209650e-01
1.666666666666666572e+02,-6.000000000000000000e+00,6.692478318554027084e-01
1.666666666666666572e+02,-5.000000000000000000e+00,6.432198495639314118e-01
1.666666666666666572e+02,-4.000000000000000000e+00,6.170919307787676722e-01
1.666666666666666572e+02,-3.000000000000000000e+00,5.908813695498743579e-01
1.666666666666666572e+02,-2.000000000000000000e+00,5.646059767435124277e-01
1.666666666666666572e+02,-1.000000000000000000e+00,5.382839750249043265e-01
1.666666666666666572e+02,0.000000000000000000e+00,5.119338866016586165e-01
1.666666666666666572e+02,1.000000000000000000e+00,4.855744156061555517e-01
1.666666666666666572e+02,2.000000000000000000e+00,4.592243271829108409e-01
1.666666666666666572e+02,3.000000000000000000e+00,4.329023254643017404e-01
1.666666666666666572e+02,4.000000000000000000e+00,4.066269326579394772e-01
1.666666666666666572e+02,5.000000000000000000e+00,3.804163714290469400e-01
1.666666666666666572e+02,6.000000000000000000e+00,3.542884526438847548e-01
1.666666666666666572e+02,7.000000000000000000e+00,3.282604703524119039e-01
1.666666666666666572e+02,8.000000000000000000e+00,3.023491056407949795e-01
1.666666666666666572e+02,9.000000000000000000e+00,2.765703406910116624e-01
1.666666666666666572e+02,1.000000000000000000e+01,2.509393840612903492e-01
1.666666666666666572e+02,1.100000000000000000e+01,2.254706078637312427e-01
1.666666666666666572e+02,1.200000000000000000e+01,2.001774971802534608e-01
1.666666666666666572e+02,1.300000000000000000e+01,1.750726117388022862e-01
1.666666666666666572e+02,1.400000000000000000e+01,1.501675595809545682e-01
1.666666666666666572e+02,1.500000000000000000e+01,1.254729821983028848e-01
1.666666666666666572e+02,1.600000000000000000e+01,1.009985504045858296e-01
1.666666666666666572e+02,1.700000000000000000e+01,7.675297004630321496e-02
1.666666666666666572e+02,1.800000000000000000e+01,5.274399653703493174e-02
1.666666666666666572e+02,1.900000000000000000e+01,2.897845712750529712e-02
1.666666666666666572e+02,2.000000000000000000e+01,5.462279791249358141e-03
1.666666666666666572e+02,2.100000000000000000e+01,-1.779947239093099265e-02
1.666666666666666572e+02,2.200000000000000000e+01,-4.080256243124552595e-02
1.666666666666666572e+02,2.300000000000000000e+01,-6.354353724628164501e-02
1.666666666666666572e+02,2.400000000000000000e+01,-8.601968303093882051e-02
1.666666666666666572e+02,2.500000000000000000e+01,-1.082289790591433598e-01
1.666666666666666572e+02,2.600000000000000000e+01,-1.301700506811521163e-01
1.666666666666666572e+02,2.700000000000000000e+01,-1.518421221897861551e-01
1.666666666666666572e+02,2.800000000000000000e+01,-1.732449701311353230e-01
1.666666666666666572e+02,2.900000000000000000e+01,-1.943788775417200632e-01
1.666666666666666572e+02,3.000000000000000000e+01,-2.152445895059920677e-01
3.333333333333333144e+02,-3.000000000000000000e+01,1.233362491195885591e+00
3.333333333333333144e+02,-2.900000000000000000e+01,1.212763749805785274e+00
3.333333333333333144e+02,-2.800000000000000000e+01,1.191897962083993123e+00
