y,regime,regime_ergodic_ask,regime_ergodic_bid,ansatz_ask,ansatz_bid
2.2,-1,1.949487154,-0.9099539319,1.653242916,-0.6296334897
2.24,-1,1.976184412,-0.9362942393,1.669334679,-0.645725253
2.28,-1,2.002881671,-0.9626345466,1.685320147,-0.6617107206
2.32,-1,2.029381977,-0.9887754488,1.70120715,-0.6775977235
2.36,-1,2.055685333,-1.014716946,1.717002966,-0.6933935401
2.4,-1,2.081988689,-1.040658443,1.732714358,-0.7091049316
2.44,-1,2.107906344,-1.066209772,1.748347602,-0.7247381755
2.48,-1,2.133823999,-1.091761101,1.763908524,-0.7402990976
2.52,-1,2.159552577,-1.117121331,1.779402529,-0.7557931025
2.56,-1,2.185092077,-1.142290463,1.794834628,-0.7712252019
2.6,-1,2.210631577,-1.167459595,1.810209468,-0.7866000415
2.64,-1,2.235799771,-1.19225379,1.825531353,-0.8019219267
2.68,-1,2.260967964,-1.217047985,1.840804272,-0.8171948459
2.72,-1,2.285953564,-1.241657973,1.856031919,-0.8324224929
2.76,-1,2.310756571,-1.266083755,1.871217714,-0.847608288
2.8,-1,2.335559577,-1.290509537,1.886364824,-0.8627553974
2.84,-1,2.360002761,-1.314572668,1.901476178,-0.8778667513
2.88,-1,2.384445945,-1.3386358,1.916554488,-0.8929450613
2.92,-1,2.40871151,-1.362520095,1.931602262,-0.9079928358
2.96,-1,2.432799457,-1.386225555,1.946621821,-0.9230123952
3,-1,2.456887404,-1.409931015,1.961615312,-0.9380058854
3.04,-1,2.480623892,-1.433282973,1.976584717,-0.9529752908
3.08,-1,2.504360379,-1.456634931,1.991531873,-0.9679224463
3.12,-1,2.527922604,-1.479811802,2.006458474,-0.982849048
3.16,-1,2.551310566,-1.502813585,2.02136609,-0.9977566638
3.2,-1,2.574698529,-1.525815368,2.036256169,-1.012646743
3.24,-1,2.59774001,-1.548469417,2.051130051,-1.027520625
3.28,-1,2.620781491,-1.571123466,2.065988973,-1.042379547
3.32,-1,2.643650279,-1.593604396,2.080834079,-1.057224653
3.36,-1,2.666346373,-1.615912208,2.095666425,-1.072056999
3.4,-1,2.689042468,-1.638220019,2.110486989,-1.086877562
3.44,-1,2.711393245,-1.660182071,2.125296671,-1.101687245
3.48,-1,2.733744021,-1.682144124,2.140096305,-1.116486879
3.52,-1,2.755921609,-1.703932977,2.15488666,-1.131277234
3.56,-1,2.777926008,-1.725548633,2.169668448,-1.146059022
3.6,-1,2.799930408,-1.747164288,2.184442325,-1.160832899
3.64,-1,2.821586118,-1.768431672,2.199208897,-1.175599471
3.68,-1,2.843241828,-1.789699056,2.213968724,-1.190359298
3.72,-1,2.864721334,-1.810790671,2.228722324,-1.205112898
3.76,-1,2.886024635,-1.831706516,2.243470175,-1.219860749
3.8,-1,2.907327935,-1.852622362,2.258212717,-1.23460329
3.84,-1,2.9282735,-1.873181823,2.272950357,-1.249340931
3.88,-1,2.949219065,-1.893741283,2.287683472,-1.264074046
3.92,-1,2.969982176,-1.914119218,2.30241241,-1.278802983
3.96,-1,2.990562834,-1.934315629,2.31713749,-1.293528064
4,-1,3.011143492,-1.95451204,2.331859009,-1.308249583
4.04,-1,3.031349932,-1.974336634,2.346577241,-1.322967815
4.08,-1,3.051556371,-1.994161228,2.361292437,-1.337683011
4.12,-1,3.071569797,-2.013794301,2.376004832,-1.352395406
4.16,-1,3.091390209,-2.033235853,2.39071464,-1.367105213
4.2,-1,3.11121062,-2.052677406,2.405422059,-1.381812633
4.24,-1,3.130630255,-2.071721809,2.420127274,-1.396517847
4.28,-1,3.150049889,-2.090766213,2.434830453,-1.411221027
4.32,-1,3.169260026,-2.109603285,2.449531753,-1.425922327
4.36,-1,3.188260664,-2.128233025,2.464231319,-1.440621893
4.4,-1,3.207261302,-2.146862765,2.478929283,-1.455319857
4.44,-1,3.225820603,-2.165056287,2.493625769,-1.470016343
4.48,-1,3.244379904,-2.183249809,2.508320891,-1.484711464
4.52,-1,3.262704912,-2.201212038,2.523014752,-1.499405326
4.56,-1,3.280795627,-2.218942975,2.537707451,-1.514098024
4.6,-1,3.298886342,-2.236673912,2.552399075,-1.528789649
4.64,-1,3.316475352,-2.253910145,2.567089709,-1.543480283
4.68,-1,3.334064361,-2.271146378,2.581779428,-1.558170002
4.72,-1,3.351382438,-2.288115751,2.596468302,-1.572858876
4.76,-1,3.368429583,-2.304818265,2.611156396,-1.58754697
4.8,-1,3.385476727,-2.32152078,2.625843771,-1.602234344
4.84,-1,3.401933381,-2.337642269,2.640530481,-1.616921055
4.88,-1,3.418390035,-2.353763758,2.655216577,-1.631607151
4.92,-1,3.434522025,-2.369566084,2.669902108,-1.646292682
4.96,-1,3.450329352,-2.385049245,2.684587116,-1.660977689
5,-1,3.466136678,-2.400532407,2.699271641,-1.675662214
5.04,-1,3.481223499,-2.415307856,2.71395572,-1.690346294
5.08,-1,3.49631032,-2.430083304,2.728639389,-1.705029963
5.12,-1,3.510993821,-2.444462884,2.743322678,-1.719713252
5.16,-1,3.525274002,-2.458446595,2.758005616,-1.73439619
5.2,-1,3.539554182,-2.472430307,2.772688231,-1.749078805
5.24,-1,3.552923421,-2.485520477,2.787370548,-1.763761122
5.28,-1,3.566292659,-2.498610647,2.802052589,-1.778443162
5.32,-1,3.579143218,-2.511192323,2.816734375,-1.793124949
5.36,-1,3.591475099,-2.523265506,2.831415926,-1.8078065
5.4,-1,3.603806979,-2.535338689,2.846097261,-1.822487835
5.44,-1,3.614948101,-2.546245033,2.860778395,-1.837168969
5.48,-1,3.626089223,-2.557151378,2.875459345,-1.851849919
5.52,-1,3.636541768,-2.567383234,2.890140124,-1.866530698
5.56,-1,3.646305736,-2.576940601,2.904820746,-1.881211319
5.6,-1,3.656069703,-2.586497968,2.919501222,-1.895891795
