time,price,y,alpha,regime,z,glft_inventory,y_aware_inventory,alpha/y_aware_inventory,regime_aware_inventory,regime_galerkin_inventory,regime_sc_cubic_inventory
235,-3.5791339,-0.043541843,0.018747838,0,0,1,3,-2,0,-1,1
236,-3.8131621,-0.0013545283,0.019385244,0,0,0,3,-2,0,-1,1
237,-4.2493105,0.10785357,0.019731635,0,0,0,4,-2,-1,-1,1
238,-4.6529352,0.57240178,0.019370765,0,0,0,4,0,-1,0,2
239,-4.740302,0.72083791,0.018134973,0,0,1,3,0,0,2,2
240,-4.7480186,0.69199485,0.013068934,0,0,1,3,2,0,2,3
241,-4.3000758,1.061919,0.019267378,0,0,-1,4,3,0,2,3
242,-4.7265019,1.1108036,0.019526491,0,0,0,4,3,0,3,3
243,-4.8170827,1.2685723,0.023148226,0,0,0,3,2,0,4,3
244,-4.5433522,1.2515687,0.022428639,0,0,0,3,3,0,4,3
245,-4.6727218,1.356359,0.025883177,0,0,0,3,3,0,4,3
246,-4.4292825,1.175565,0.028699812,0,0,1,2,3,0,5,3
247,-3.8595652,0.86063443,0.035932867,0,0,1,2,6,-1,5,3
248,-3.5480664,0.71051271,0.039481024,0,0,1,3,6,-1,5,2
249,-3.6114647,0.13933787,0.019834749,0,0,1,3,6,-1,5,1
250,-3.3413199,0.22157884,0.014670742,0,0,3,3,6,0,5,1
251,-3.3238367,0.40680827,0.02647489,0,0,0,3,6,0,5,2
252,-2.5818153,0.40099297,0.021369284,0,0,0,2,6,0,4,2
253,-2.7911866,0.12174196,0.027613383,0,0,0,3,5,0,2,1
254,-2.5822805,0.11348001,0.011452592,0,0,2,4,4,1,2,0
255,-2.4213021,0.15707018,0.018146093,0,0,2,4,4,2,3,0
256,-2.5313426,0.1957644,0.022002367,0,0,2,4,4,3,3,0
257,-2.0419069,0.18243575,0.012055371,0,0,2,4,4,2,3,0
258,-1.6957914,0.18340785,0.012119687,0,0,2,4,4,4,3,-1
259,-1.4231609,0.2643317,0.013671305,0,0,2,4,3,4,3,-1
260,-1.6130036,-0.12879545,0.0099273567,0,0,2,4,3,4,4,-1
261,-1.6518629,-0.03768069,0.0070608916,0,0,1,4,3,4,2,0
262,-1.554431,0.32862784,0.0057217497,0,0,1,4,3,4,2,1
263,-1.6328927,0.51350629,0.021491691,0,0,1,3,4,4,2,2
264,-0.94974393,0.40666308,0.025245193,0,0,1,3,4,4,4,2
265,-1.3286306,0.58507134,0.015063371,0,0,1,4,4,6,4,2
266,-1.4999175,0.51972843,0.028273208,0,0,1,3,4,6,4,2
267,-1.4764555,0.52182848,0.027752191,0,0,1,3,5,7,4,3
268,-1.5602012,0.12045933,0.032374958,0,0,2,2,5,8,4,3
269,-1.8614622,0.046623857,0.030756792,0,0,3,2,5,6,4,3
270,-1.9386434,0.66506153,0.027828308,0,0,3,2,5,6,5,4
271,-1.6925917,0.36564773,0.024954385,0,0,3,2,6,7,6,4
272,-1.6609514,0.31768432,0.020329487,0,0,2,1,7,7,6,4
273,-1.2122777,0.63991296,0.02490874,0,0,2,1,7,7,7,3
274,-1.2023974,0.55279196,0.026634021,0,0,2,0,7,7,8,3
275,-0.86753914,0.63404278,0.025558172,0,0,1,0,6,5,8,3
276,-0.36757335,1.1457146,0.032358786,0,0,0,-1,7,4,8,3
277,-0.51614383,1.4410188,0.025335117,0,0,0,-1,7,4,8,3
278,-0.39098977,1.6513711,0.033352045,0,0,0,-1,6,4,8,3
279,0.25574025,1.8519564,0.030055275,0,0,-1,-2,6,4,10,3
280,-0.2252061,1.7174807,0.046381421,0,0,-3,-2,7,4,10,3
281,-0.19202735,2.0348226,0.041781268,0,0,-3,-3,8,4,10,3
282,-0.1103385,1.8140548,0.050199701,0,0,-4,-3,8,4,10,3
283,-0.22585587,1.3095864,0.057769072,0,0,-5,-4,8,4,10,3
284,-0.25801097,1.2776975,0.048235158,0,0,-5,-4,8,3,11,3
285,-0.77371272,1.5350556,0.042054631,0,0,-5,-4,8,3,12,3
286,-0.86495221,1.1783034,0.043520213,0,0,-5,-3,8,3,11,3
287,-1.2039343,1.0680448,0.032271502,0,0,-5,-3,8,4,11,3
288,-1.3169156,0.81878962,0.02617536,0,0,-5,-4,9,5,11,4
289,-1.2025009,1.3521343,0.029124193,0,0,-7,-4,8,5,12,4
290,-0.7921536,1.4256524,0.040711056,0,0,-7,-4,7,5,12,4
291,-0.81866247,1.3380956,0.039614229,0,0,-7,-4,6,5,12,4
292,-0.96318915,1.2517531,0.044019247,0,0,-8,-4,6,6,12,4
293,-0.67400761,0.63605989,0.042693319,0,0,-8,-4,7,7,12,5
294,-0.95118731,0.47979391,0.041438329,0,0,-9,-4,6,6,12,5
